pos x,pos y,vel,dist_to_wall,dist_to_other
359.3449132,468.1215881,0,2.925131559,2.925131559
359.3449132,468.1215881,0,2.925131559,32.26021789
359.3449132,468.1215881,1.336181205,2.986071825,31.55837104
360.839599,470.6340852,2.67236241,2.986071825,30.15467732
360.839599,470.6340852,1.874019876,3.047012091,29.69929196
361.2035176,471.7763819,2.254976864,3.047012091,30.60619
362.0264423,474.1754808,4.588736985,3.107952356,31.70045868
360.9372093,478.2325581,6.985354909,3.047012091,31.83048936
360.1401869,482.8504673,8.326843231,2.986071825,33.26955354
360.6987654,487.6518519,8.13361439,3.047012091,34.29922897
361.2880562,491.2037471,6.885136605,3.047012091,28.94080918
361.6848341,494.2109005,4.741125735,3.107952356,22.48377808
361.6821346,494.9257541,2.042453901,3.107952356,20.70518321
361.5918854,494.947494,0.7475322861,3.107952356,20.72697942
361.4192771,495.7855422,0.7756016573,3.047012091,20.66258332
361.3373786,495.7038835,0.1356749982,3.047012091,20.6247696
361.4709977,495.2459397,0.2006987599,3.047012091,20.91243819
361.3480392,495.8088235,0.4455060913,3.047012091,22.92379021
360.9952153,495.9976077,1.331125963,3.047012091,27.39216365
361.0633803,497.8685446,1.638461684,3.047012091,31.25227095
361.6032483,497.5081206,1.197751763,3.107952356,34.01831575
363.0704225,496.528169,2.188121906,3.168892622,37.1699659
362.3579952,494.9379475,1.804427802,3.168892622,39.38429285
362.7488688,495.1742081,0.3665570538,3.107952356,40.39241186
361.9170213,496.5404255,3.330105221,3.107952356,40.07220997
362.8938053,500.8517699,6.619155186,3.047012091,40.12091108
364.0410367,505.1663067,8.754187104,2.742310762,41.60331291
364.4868421,511.0153509,9.584920317,2.437609673,41.82434874
364.3903509,515.8837719,8.216839672,2.19384861,38.73113646
364.8860215,518.2602151,8.123726932,1.889147401,34.15003998
365.5853659,526.3414634,9.545499434,1.584446311,32.27674108
366.2224622,528.5334773,6.983538123,1.340685248,32.82747345
365.592511,531.2885463,2.907970291,1.279745102,33.21379115
364.8344988,529.7972028,1.71759087,1.279745102,33.30564969
363.5353774,528.5235849,2.934178865,1.340685248,35.06115961
362.949115,527.4955752,1.975112845,1.401625514,36.71216581
363.0354767,527.2217295,0.480349655,1.46256578,34.93912402
363.4114943,527.7471264,1.426447194,1.401625514,33.04276302
363.9388235,529.7764706,3.134392766,1.279745102,32.87841333
364.8574879,531.6352657,3.37017242,1.218804836,33.16424095
